iter	Passed	Remaining
0	451	1354049
1	799	1197928
2	1073	1072373	3	1390	104124	14	1688	10115	195	2088	1046	2376	2419	1037	2677	2784	1048	3028	3096	1029	3369	3447	10310	3710	3807	10311	4011	4148	10112	4312	4526	11313	4613	4828	1414	50014	50831515	531815	5391616	5611	16	5617	5926	9817	5918	6203	9718	6319	6581	9819	6620	6965	9820	7021	7246	9821	7322	7458	9622	7623	7788	9623	7924	8073	9624	8225	8404	9625	8526	8755	9626	8827	9131	9627	9128	9568	980276
29	9875	977626
30	10188	975791
31	10474	971549
32	10855	975990
33	11155	973115
34	11525	976381
35	11801	971629
36	12102	969164
37	12448	970339
38	12745	967674
39	13040	965002
40	13328	961900
41	13640	960680
42	13969	960645
43	14297	960555
44	14629	960668
45	14913	957695
46	15165	952834
47	15481	952112
48	15770	949757
49	16128	951594
50	16451	951266
51	16782	951423
52	17057	948446
53	17350	946544
54	17642	944692
55	18026	947699
56	18381	949075
57	18687	947913
58	18953	944760
59	19275	944475
60	19616	945141
61	19937	944777
62	20284	945626
63	20584	944322
64	20859	941876
65	21123	939016
66	21455	939237
67	21775	938891
68	22117	939512
69	22448	939642
70	22787	940077
71	23082	938700
72	23426	939293
73	23721	937964
74	24020	936794
75	24366	937452
76	24709	938012
77	25044	938210
78	25363	937819
79	25698	938005
80	26064	939299
81	26373	938516
82	26713	938851
83	27083	940178
84	27508	943366
85	27819	942623
86	28143	942306
87	28444	941270
88	28784	941489
89	29061	939657
90	29329	937574
91	29680	938156
92	29970	936812
93	30286	936311
94	30591	935466
95	30857	933454
96	31155	932410
97	31449	931286
98	31840	933035
99	32214	934208
100	32559	934560
101	32853	933425
102	33147	932317
103	33443	931279
104	33730	930005
105	34016	928717
106	34374	929401
107	34654	927969
108	34958	927210
109	35261	926405
110	35582	926115
111	35880	925211
112	36195	924740
113	36563	925634
114	37050	929480
115	37402	929914
116	37767	930637
117	38209	933221
118	38655	935851
119	39148	939553
120	39537	940732
121	39951	942459
122	40375	944382
123	40761	945396
124	41038	943889
125	41420	944775
126	41767	944859
127	42125	945197
128	42499	945870
129	42952	948267
130	43316	948660
131	43635	948071
132	43973	947919
133	44317	947870
134	44741	949508
135	45152	950859
136	45478	950402
137	45855	950998
138	46220	951343
139	46622	952431
140	46948	951959
141	47309	952187
142	47651	952021
143	48069	953373
144	48407	953133
145	48750	952963
146	49116	953263
147	49405	952060
148	49715	951268
149	50025	950479
150	50332	949644
151	50713	950219
152	51075	950398
153	51410	950086
154	51814	951039
155	52461	956405
156	52869	957383
157	53252	957869
158	53565	957105
159	53873	956257
160	54228	956233
161	54567	955935
162	55011	957476
163	55313	956519
164	55607	955446
165	55962	955409
166	56381	956466
167	56736	956407
168	57110	956685
169	57500	957206
170	57831	956761
171	58282	958269
172	58740	959887
173	59171	961028
174	59519	960811
175	59845	960241
176	60198	960120
177	60611	960935
178	60963	960769
179	61366	961406
180	61753	961779
181	62167	962565
182	62540	962718
183	62871	962199
184	63232	962154
185	63631	962680
186	64018	963018
187	64341	962389
188	64737	962838
189	65117	963058
190	65409	961965
191	65737	961413
192	66042	960523
193	66351	959707
194	66608	958141
195	66942	957691
196	67254	956925
197	67692	957955
198	68092	958430
199	68456	958385
200	68792	957967
201	69095	957069
202	69528	957980
203	69817	956903
204	70168	956690
205	70510	956337
206	70820	955557
207	71099	954378
208	71448	954128
209	71817	954147
210	72140	953548
211	72467	953013
212	72866	953422
213	73187	952800
214	73518	952318
215	73801	951220
216	74109	950451
217	74420	949716
218	74722	948868
219	74985	947543
220	75281	946636
221	75581	945788
222	75917	945394
223	76259	945074
224	76701	945979
225	77429	950391
226	77915	951803
227	78360	952700
228	78798	953493
229	79287	954897
230	79686	955199
231	80143	956197
232	80611	957309
233	81019	957686
234	81486	958764
235	81924	959487
236	82391	960537
237	82902	962084
238	83363	963040
239	83927	965170
240	84559	968043
241	85024	968992
242	85530	970398
243	86047	971909
244	86475	972403
245	87115	975271
246	87615	976541
247	88134	978014
248	88643	979346
249	89035	979390
250	89647	981838
251	90152	983087
252	90518	982822
253	90850	982185
254	91175	981477
255	91511	980891
256	91821	980028
257	92134	979200
258	92402	977901
259	92719	977125
260	93059	976590
261	93432	976407
262	93730	975433
263	94112	975342
264	94381	974092
265	94670	973039
266	94983	972251
267	95311	971610
268	95619	970773
269	95891	969567
270	96189	968640
271	96540	968246
272	96869	967633
273	97165	966687
274	97448	965625
275	97729	964549
276	98033	963699
277	98346	962942
278	98717	962763
279	99016	961871
280	99403	961846
281	99823	962128
282	100169	961702
283	100524	961352
284	100790	960163
285	101155	959919
286	101491	959398
287	101841	959010
288	102154	958271
289	102541	958234
290	102813	957122
291	103110	956247
292	103518	956393
293	103812	955494
294	104185	955323
295	104511	954722
296	104806	953848
297	105122	953158
298	105491	952955
299	105820	952383
300	106135	951689
301	106464	951127
302	106773	950388
303	107126	950043
304	107421	949179
305	107746	948595
306	108088	948154
307	108342	946938
308	108629	946021
309	108872	944730
310	109182	944024
311	109534	943677
312	109853	943056
313	110171	942419
314	110426	941255
315	110730	940511
316	111063	940013
317	111346	939094
318	111661	938444
319	111998	937987
320	112255	936862
321	112543	935995
322	112852	935316
323	113195	934907
324	113475	933990
325	113757	933089
326	114059	932354
327	114358	931606
328	114692	931139
329	114988	930364
330	115401	930530
331	115721	929953
332	116028	929270
333	116312	928408
334	116592	927521
335	116941	927178
336	117325	927111
337	117640	926507
338	118002	926264
339	118322	925699
340	118656	925242
341	118999	924853
342	119329	924367
343	119658	923876
344	119986	923374
345	120221	922161
346	120549	921664
347	120878	921179
348	121223	920813
349	121486	919827
350	121786	919122
351	122071	918309
352	122451	918215
353	122794	917838
354	123145	917522
355	123537	917508
356	123950	917649
357	124287	917230
358	124617	916757
359	124978	916512
360	125290	915902
361	125676	915843
362	126014	915428
363	126264	914377
364	126597	913932
365	126869	913043
366	127188	912500
367	127451	911552
368	127793	911180
369	128087	910460
370	128459	910296
371	128815	910017
372	129090	909169
373	129410	908641
374	129685	907796
375	129978	907080
376	130315	906680
377	130579	905768
378	130940	905524
379	131285	905180
380	131624	904788
381	131986	904553
382	132383	904562
383	132717	904137
384	133082	903923
385	133364	903149
386	133748	903058
387	133981	901961
388	134373	901924
389	134739	901719
390	135073	901294
391	135472	901306
392	135805	900880
393	136126	900366
394	136371	899359
395	136693	898865
396	137037	898510
397	137443	898561
398	137807	898338
399	138135	897879
400	138486	897568
401	138790	896958
402	139159	896767
403	139542	896662
404	139868	896193
405	140187	895681
406	140563	895532
407	140873	894960
408	141207	894545
409	141563	894264
410	141927	894042
411	142290	893805
412	142590	893175
413	142878	892472
414	143214	892068
415	143517	891465
416	143827	890900
417	144133	890315
418	144445	889771
419	144720	888996
420	145079	888739
421	145375	888098
422	145747	887920
423	146108	887676
424	146369	886824
425	146676	886257
426	146981	885676
427	147294	885143
428	147645	884841
429	147936	884179
430	148348	884237
431	148655	883673
432	149010	883395
433	149385	883231
434	149804	883330
435	150052	882419
436	150382	881988
437	150723	881630
438	151077	881342
439	151371	880706
440	151715	880362
441	152125	880401
442	152480	880119
443	152809	879685
444	153180	879497
445	153487	878940
446	153810	878476
447	154187	878320
448	154510	877852
449	154874	877622
450	155216	877268
451	155602	877159
452	155978	876994
453	156272	876363
454	156637	876136
455	156952	875630
456	157284	875220
457	157660	875051
458	158029	874842
459	158327	874242
460	158652	873792
461	158974	873328
462	159372	873280
463	159734	873031
464	160135	872996
465	160508	872809
466	160963	873064
467	161290	872620
468	161629	872247
469	161992	871999
470	162331	871627
471	162609	870925
472	162988	870765
473	163270	870086
474	163659	869979
475	164060	869932
476	164450	869829
477	164812	869575
478	165178	869341
479	165548	869129
480	165978	869231
481	166304	868783
482	166674	868572
483	167107	868683
484	167442	868284
485	167775	867876
486	168088	867363
487	168437	867038
488	168833	866956
489	169189	866663
490	169600	866653
491	169886	866006
492	170272	865867
493	170647	865673
494	171026	865496
495	171458	865586
496	171718	864810
497	172058	864439
498	172383	863990
499	172814	864073
500	173112	863491
501	173581	863756
502	173966	863608
503	174316	863279
504	174697	863107
505	175014	862621
506	175365	862300
507	175759	862191
508	176104	861839
509	176426	861375
510	176833	861329
511	177245	861302
