DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-05-17 16:50:00,7.0,1.29,1006.38,27.26,60.39,3498.19,2.07
2024-05-17 17:00:00,7.0,0.66,1006.43,27.28,60.4,3326.58,1.86
2024-05-17 17:10:00,7.0,0.0,1006.58,27.09,60.91,2360.33,0.97
2024-05-17 17:20:00,7.0,0.02,1006.6,26.44,69.09,1794.67,0.61
2024-05-17 17:30:00,7.0,0.99,1006.55,24.91,81.66,2555.17,1.48
2024-05-17 17:40:00,7.0,0.0,1006.68,23.78,87.65,3603.58,2.79
2024-05-17 17:50:00,7.0,0.0,1006.69,23.59,89.34,2056.75,0.98
2024-05-17 18:00:00,7.0,0.0,1006.48,23.27,88.95,1475.08,0.53
2024-05-17 18:10:00,7.0,0.0,1006.54,22.99,89.55,869.75,0.22
2024-05-17 18:20:00,7.0,0.0,1006.49,22.9,90.71,382.25,0.05
2024-05-17 18:30:00,7.0,0.0,1006.57,22.84,91.16,113.42,0.01
2024-05-17 18:40:00,7.0,0.0,1006.64,22.72,91.02,31.25,0.0
2024-05-18 04:50:00,7.0,0.0,1005.42,19.9,94.38,28.61,0.0
2024-05-18 05:00:00,7.0,0.0,1005.4,19.93,94.07,147.08,0.05
2024-05-18 05:10:00,7.0,0.0,1005.44,20.01,93.38,615.33,0.33
2024-05-18 05:20:00,7.0,0.0,1005.44,20.14,92.98,1540.83,1.32
2024-05-18 05:30:00,7.0,0.0,1005.57,20.39,92.51,3222.33,4.3
2024-05-18 05:40:00,7.0,0.0,1005.61,20.74,91.35,5233.42,9.03
2024-05-18 05:50:00,7.0,0.0,1005.59,21.07,89.78,6791.33,12.5
2024-05-18 06:00:00,7.0,0.0,1005.64,21.48,88.03,8566.25,18.05
2024-05-18 06:10:00,7.0,0.0,1005.72,22.06,85.73,11101.67,28.02
2024-05-18 06:20:00,7.0,0.0,1005.81,22.89,82.31,19885.25,49.2
2024-05-18 06:30:00,7.0,0.0,1005.83,25.88,70.31,30934.5,192.04
