"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1003.3","1005.5","27.2","24.9","87","2.9","240","5.5","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1003.0","1005.2","26.8","24.7","88","3.1","240","5.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1002.7","1004.9","26.7","24.2","86","3.3","240","6.0","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1002.4","1004.6","26.5","24.4","88","3.8","240","6.1","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1002.9","1005.1","26.6","24.1","86","3.7","240","5.4","230","0.0","0.0","--","0.00","--","0","--","29.4","30.8","31.9","33.2","34.2","34.8","33.3"
"06","1002.9","1005.1","26.2","23.9","87","4.2","230","6.4","220","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"07","1003.1","1005.3","27.2","24.1","83","4.2","230","6.5","230","0.0","0.0","1.0","0.51","--","0","--","--","--","--","--","--","--","--"
"08","1003.2","1005.4","29.3","24.0","73","4.0","230","6.4","220","0.0","0.0","1.0","1.28","20.0","2","6.0","--","--","--","--","--","--","--"
"09","1002.9","1005.1","30.5","23.4","66","2.5","200","5.7","230","0.0","0.0","0.7","1.65","25.0","4","7.0","30.6","30.5","31.4","32.5","33.8","34.7","33.3"
"10","1003.2","1005.3","32.1","24.7","65","1.8","130","3.5","200","0.0","0.0","1.0","2.85","--","8","--","--","--","--","--","--","--","--"
"11","1003.3","1005.5","31.6","26.0","72","3.1","130","4.3","130","0.0","0.0","0.6","2.62","25.0","9","8.0","--","--","--","--","--","--","--"
"12","1002.7","1004.8","32.3","26.4","71","3.6","140","5.2","140","0.0","0.0","1.0","3.52","--","12","--","--","--","--","--","--","--","--"
"13","1002.3","1004.4","33.0","26.8","70","3.3","140","5.9","150","0.0","0.0","0.9","3.46","--","12","--","--","--","--","--","--","--","--"
"14","1001.9","1004.1","30.0","25.8","78","5.3","140","10.6","150","T","0.2","0.1","1.70","10.0","6","9.0","36.0","34.5","33.9","32.9","33.6","34.6","33.4"
"15","1001.4","1003.6","29.7","25.2","77","1.7","160","5.8","130","0.0","0.0","0.1","1.48","--","5","--","--","--","--","--","--","--","--"
"16","1000.8","1002.9","31.2","25.8","73","1.6","120","2.7","180","0.0","0.0","0.4","1.35","--","3","--","--","--","--","--","--","--","--"
"17","1001.0","1003.2","30.2","25.7","77","2.0","110","3.2","120","0.0","0.0","0.9","0.93","18.0","1","4.0","--","--","--","--","--","--","--"
"18","1001.6","1003.8","29.8","24.9","75","2.0","70","4.6","100","0.0","0.0","0.2","0.16","--","0","--","--","--","--","--","--","--","--"
"19","1001.9","1004.1","29.7","23.7","70","0.7","60","3.0","60","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1002.1","1004.3","29.7","24.4","73","1.6","350","2.7","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1002.8","1005.0","29.9","24.1","71","1.6","340","2.6","350","0.0","0.0","--","0.00","--","0","--","31.9","33.0","33.9","34.2","34.4","34.8","33.3"
"22","1002.6","1004.8","29.9","23.6","69","1.0","290","2.7","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1002.9","1005.1","28.1","25.3","85","1.6","160","2.7","170","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1002.4","1004.6","27.5","25.9","91","1.4","290","3.2","170","0.5","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
