"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1000.4","25.1","98","0.0","0","2.9","221","0.0","0.00"
"02","1000.6","24.8","99","0.0","0","1.6","222","0.0","0.00"
"03","1000.4","24.7","99","0.3","236","2.0","227","0.0","0.00"
"04","1000.1","25.0","98","0.2","0","2.3","219","0.0","0.00"
"05","999.6","24.9","97","0.4","226","1.9","231","0.0","0.00"
"06","1000.4","24.7","98","0.5","237","2.1","219","0.0","0.00"
"07","1001.3","25.9","93","0.8","220","2.9","224","0.0","0.20"
"08","1001.4","28.5","82","0.7","226","2.2","243","0.0","0.90"
"09","1001.2","30.9","73","0.7","231","2.6","229","0.0","1.80"
"10","1001.0","32.5","68","1.1","229","2.8","215","0.0","2.70"
"11","1000.5","33.4","68","0.9","258","2.6","210","0.0","2.50"
"12","1000.1","34.7","63","0.7","140","3.6","89","0.0","3.80"
"13","999.5","33.7","65","0.3","51","2.6","107","0.0","2.90"
"14","999.2","32.9","69","0.9","38","3.4","40","0.0","1.90"
"15","999.5","31.4","78","0.1","0","2.7","45","0.0","0.80"
"16","999.2","30.4","80","0.1","0","1.6","126","0.0","0.30"
"17","999.0","29.2","85","0.9","231","2.5","251","0.0","0.10"
"18","998.9","27.6","90","1.0","241","3.2","243","0.0","0.00"
"19","999.4","27.2","92","0.5","228","2.9","227","0.0","0.00"
"20","1000.4","26.9","94","0.2","0","2.1","210","0.0","0.00"
"21","1001.0","26.6","95","0.6","226","1.8","212","0.0","0.00"
"22","1000.5","26.4","95","0.7","221","2.4","219","0.0","0.00"
"23","1000.5","25.9","96","0.6","214","2.3","224","0.0","0.00"
"24","999.9","25.6","97","0.9","229","1.8","212","0.0","0.00"
