觀測時間(hour),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),全天空日射量(MJ/㎡),測站氣壓(hPa),氣溫(℃),相對溼度(%),風速(m/s),風向(360degree),日期
1,3.7,48,0,0,,,,,,2024/1/1
2,4.8,53,0,0,,,,,,2024/1/1
3,4.8,9,0,0,,,,,,2024/1/1
4,3.9,18,0,0,,,,,,2024/1/1
5,3.3,62,0,0,,,,,,2024/1/1
6,3.2,12,0,0,,,,,,2024/1/1
7,1.6,342,0,0,,,,,,2024/1/1
8,2.2,244,0,0,,,,,,2024/1/1
9,2.7,294,0,0.1,,,,,,2024/1/1
10,1.8,116,0,0.2,,,,,,2024/1/1
11,4.1,43,0,0.2,,,,,,2024/1/1
12,2.9,53,0,0.2,,,,,,2024/1/1
13,3.9,82,0,0.4,,,,,,2024/1/1
14,4.7,324,0,0.1,,,,,,2024/1/1
15,2.5,301,0,0.1,,,,,,2024/1/1
16,3.2,302,0,0,,,,,,2024/1/1
17,2.3,296,0,0,,,,,,2024/1/1
18,1.8,290,0,0,,,,,,2024/1/1
19,1,201,0,0,,,,,,2024/1/1
20,0.6,191,0,0,,,,,,2024/1/1
21,0.9,214,0,0,,,,,,2024/1/1
22,0.8,105,0,0,,,,,,2024/1/1
23,1.2,218,0,0,,,,,,2024/1/1
24,0.7,217,0,0,,,,,,2024/1/1
1,0.4,217,0,0,,,,,,2024/1/2
2,0.9,218,0,0,,,,,,2024/1/2
3,0.6,217,0,0,,,,,,2024/1/2
4,0.9,217,0,0,,,,,,2024/1/2
5,0.3,218,0,0,,,,,,2024/1/2
6,0.7,218,0,0,,,,,,2024/1/2
7,0.3,218,0,0,,,,,,2024/1/2
8,1.3,219,0,0.1,,,,,,2024/1/2
9,2.6,217,0,1,,,,,,2024/1/2
10,2.5,261,0,1.7,,,,,,2024/1/2
11,1.6,247,0,2.2,,,,,,2024/1/2
12,2.8,319,0,2.5,,,,,,2024/1/2
13,3.6,104,0,2.5,,,,,,2024/1/2
14,3.3,59,0,1.4,,,,,,2024/1/2
15,2.3,96,0,0.5,,,,,,2024/1/2
16,1.2,19,0,0.2,,,,,,2024/1/2
17,0,0,0,0.1,,,,,,2024/1/2
18,0,0,0,0,,,,,,2024/1/2
19,0,0,0,0,,,,,,2024/1/2
20,0,0,0,0,,,,,,2024/1/2
21,0.1,0,0,0,,,,,,2024/1/2
22,0.6,198,0,0,,,,,,2024/1/2
23,1.1,212,0,0,,,,,,2024/1/2
24,0.2,0,0,0,,,,,,2024/1/2
1,1.4,210,0,0,,,,,,2024/1/3
2,1.2,204,0,0,,,,,,2024/1/3
3,1.4,199,0,0,,,,,,2024/1/3
4,0.8,231,0,0,,,,,,2024/1/3
5,0.8,244,0,0,,,,,,2024/1/3
6,1.6,238,0,0,,,,,,2024/1/3
7,1.1,222,0,0,,,,,,2024/1/3
8,2.1,196,0,0.1,,,,,,2024/1/3
9,1.5,210,0,0.5,,,,,,2024/1/3
10,2.5,258,0,1.4,,,,,,2024/1/3
11,1.9,211,0,1.5,,,,,,2024/1/3
12,2.5,73,0,1.1,,,,,,2024/1/3
13,5.4,65,0,0.3,,,,,,2024/1/3
14,5.8,360,0,0.1,,,,,,2024/1/3
15,6.2,56,0,0.1,,,,,,2024/1/3
16,6.1,19,0,0,,,,,,2024/1/3
17,5,35,0,0,,,,,,2024/1/3
18,5.6,35,0,0,,,,,,2024/1/3
19,4.9,9,0,0,,,,,,2024/1/3
20,4.2,63,0,0,,,,,,2024/1/3
21,6,26,0,0,,,,,,2024/1/3
22,3.8,21,0,0,,,,,,2024/1/3
23,4.7,72,0,0,,,,,,2024/1/3
24,4.7,72,0,0,,,,,,2024/1/3
1,2.9,319,0,0,,,,,,2024/1/4
2,3.3,345,0,0,,,,,,2024/1/4
3,2.6,265,0,0,,,,,,2024/1/4
4,2,282,0,0,,,,,,2024/1/4
5,1.5,202,0,0,,,,,,2024/1/4
6,1.1,76,0,0,,,,,,2024/1/4
7,0.9,208,0,0,,,,,,2024/1/4
8,1.5,194,0,0.1,,,,,,2024/1/4
9,2.1,209,0,0.2,,,,,,2024/1/4
10,2,218,0,0.4,,,,,,2024/1/4
11,1.7,212,0,0.8,,,,,,2024/1/4
12,2.3,109,0,1.6,,,,,,2024/1/4
13,3.7,30,0,1.8,,,,,,2024/1/4
14,4.8,75,0,1.1,,,,,,2024/1/4
15,2.9,71,0,0.1,,,,,,2024/1/4
16,1.6,317,0,0.1,,,,,,2024/1/4
17,0.8,351,0,0,,,,,,2024/1/4
18,0,0,0,0,,,,,,2024/1/4
19,0.1,0,0,0,,,,,,2024/1/4
20,0.4,175,0,0,,,,,,2024/1/4
21,1.4,201,0,0,,,,,,2024/1/4
22,1.5,273,0,0,,,,,,2024/1/4
23,1.3,288,0,0,,,,,,2024/1/4
24,0.8,208,0,0,,,,,,2024/1/4
1,0.9,212,0,0,,,,,,2024/1/5
2,1.1,214,0,0,,,,,,2024/1/5
3,0.7,212,0,0,,,,,,2024/1/5
4,1.7,212,0,0,,,,,,2024/1/5
5,0.6,205,0,0,,,,,,2024/1/5
6,0,0,0,0,,,,,,2024/1/5
7,0,0,0,0,,,,,,2024/1/5
8,1.9,212,0,0.1,,,,,,2024/1/5
9,3.3,205,0,1,,,,,,2024/1/5
10,3,195,0,1.7,,,,,,2024/1/5
11,3.6,292,0,2.2,,,,,,2024/1/5
12,2.4,214,0,2.5,,,,,,2024/1/5
13,2.3,90,0,2.5,,,,,,2024/1/5
14,2.6,26,0,1.3,,,,,,2024/1/5
15,2.5,145,0,0.7,,,,,,2024/1/5
16,2,219,0,0.2,,,,,,2024/1/5
17,0.4,218,0,0.1,,,,,,2024/1/5
18,0,0,0,0,,,,,,2024/1/5
19,0.7,201,0,0,,,,,,2024/1/5
20,0.5,201,0,0,,,,,,2024/1/5
21,0,0,0,0,,,,,,2024/1/5
