ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunshineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm
1,1003,1005.2,1010.2,2024/11/1 23:43,995.6,2024/11/1 00:01,26.4,29.8,2024/11/1 11:38,24.3,2024/11/1 04:39,24.1,87,71,2024/11/1 12:01,4.8,20,29,180,2024/11/1 00:05,17,5.5,4,2024/11/1 01:01,13.5,2024/11/1 00:36,3.1,27.7,11.72,20,-1.9,8,2024/11/1 12:00,9,25.6,25.3,25.2,24.7,25.1,25.8,26.4
2,1015.2,1017.4,1018.1,2024/11/2 22:37,1010.2,2024/11/2 00:01,24.4,26,2024/11/2 00:29,22.9,2024/11/2 08:23,21.7,85,77,2024/11/2 12:14,3,20,9.9,30,2024/11/2 00:14,2,3.6,0.5,2024/11/2 05:38,1,2024/11/2 05:38,0,0,4.69,16,1.9,3,2024/11/2 13:00,10,24.3,24.3,24.6,24.8,25.5,26.3,26.6
3,1016,1018.2,1017.2,2024/11/3 00:01,1014.4,2024/11/3 14:00,24.3,26.9,2024/11/3 10:26,22.2,2024/11/3 04:05,20.4,79,67,2024/11/3 10:19,2.5,30,10.1,50,2024/11/3 10:58,0,0,0,--,0,--,1.2,10.8,9.49,17,1.2,6,2024/11/3 11:00,9.2,23.9,23.8,24.1,24.3,25,25.9,26.6
4,1015.6,1017.8,1017,2024/11/4 21:05,1013.6,2024/11/4 13:37,24.8,28.6,2024/11/4 11:32,21.4,2024/11/4 06:08,20.1,76,61,2024/11/4 11:16,3.9,30,14.5,30,2024/11/4 20:01,1,1.1,0.5,2024/11/4 17:15,1,2024/11/4 17:15,7.8,70.5,16.7,18,-4,8,2024/11/4 12:00,4.6,24.2,24.3,24.5,24.5,25.2,25.9,26.6
5,1015.9,1018.1,1017.9,2024/11/5 08:04,1013.6,2024/11/5 13:25,24.4,27.9,2024/11/5 11:10,21.6,2024/11/5 06:44,19.2,73,58,2024/11/5 09:11,4.9,40,15.9,40,2024/11/5 21:19,T,0.6,T,2024/11/5 19:49,T,2024/11/5 19:49,6.4,58,16.15,21,-4.7,7,2024/11/5 13:00,4.2,23.9,24.2,24.5,24.7,25.4,26,26.6
6,1018.1,1020.4,1019.8,2024/11/6 21:24,1016.4,2024/11/6 03:49,23.2,24.6,2024/11/6 13:04,22.4,2024/11/6 20:50,15.6,62,54,2024/11/6 13:13,8.3,40,18.3,40,2024/11/6 09:09,0,0,0,--,0,--,0,0,7.73,15,3.9,5,2024/11/6 13:00,9.6,21.9,22.4,23,23.7,24.8,25.7,26.6
7,1018,1020.3,1019.8,2024/11/7 08:14,1016.8,2024/11/7 14:37,23.1,25.4,2024/11/7 13:39,21.9,2024/11/7 05:27,17.6,71,57,2024/11/7 01:02,4.3,30,14.6,30,2024/11/7 01:56,T,0.6,T,2024/11/7 18:01,T,2024/11/7 18:01,0.6,5.5,7.46,15,-1.3,4,2024/11/7 14:00,9.6,22,22.1,22.5,22.9,24,25,26.5
8,1015.4,1017.6,1017.5,2024/11/8 08:29,1013.4,2024/11/8 15:15,22.9,24.3,2024/11/8 10:41,21.6,2024/11/8 05:17,20.9,88,80,2024/11/8 01:17,2.2,30,10.2,30,2024/11/8 01:45,5,4.2,1,2024/11/8 04:31,2.5,2024/11/8 10:47,0,0,4.97,16.2,-1,3,2024/11/8 10:00,10,22.7,22.6,22.9,23.1,24,25,26.3
9,1013.6,1015.8,1014.9,2024/11/9 08:21,1012.1,2024/11/9 13:29,25.1,28.8,2024/11/9 11:16,21.9,2024/11/9 05:33,22.6,86,70,2024/11/9 11:20,2.9,30,9.6,30,2024/11/9 16:43,T,1,T,2024/11/9 17:09,T,2024/11/9 17:09,7.9,72,17.19,24,-1.4,8,2024/11/9 12:00,6.6,24.6,24.4,24.4,24.1,24.5,25.1,26.1
10,1013.6,1015.8,1015.2,2024/11/10 08:49,1011.9,2024/11/10 02:51,25.2,27.8,2024/11/10 11:58,24.4,2024/11/10 21:04,22.6,86,74,2024/11/10 12:02,3.3,30,10.4,50,2024/11/10 12:05,T,0.6,T,2024/11/10 04:04,T,2024/11/10 04:04,1,9.1,10.67,18,-2.7,7,2024/11/10 12:00,9.8,25.2,25.1,25.3,25.2,25.6,25.9,26.1
11,1013.1,1015.3,1014.9,2024/11/11 08:26,1011.6,2024/11/11 14:01,25.3,27.8,2024/11/11 13:09,23.6,2024/11/11 02:19,21.7,81,67,2024/11/11 14:30,3.2,40,11.6,40,2024/11/11 12:35,1,0.9,0.5,2024/11/11 20:17,0.5,2024/11/11 20:17,2.8,25.6,12,19,-2.8,6,2024/11/11 13:00,7.2,24.9,24.9,25.2,25.2,25.7,26.2,26.3
12,1012.3,1014.5,1013.8,2024/11/12 08:54,1010.6,2024/11/12 14:00,24.1,26.9,2024/11/12 10:54,22.6,2024/11/12 04:41,22.5,91,82,2024/11/12 10:56,2.5,360,9.9,350,2024/11/12 22:05,25.5,15,6.5,2024/11/12 21:25,14.5,2024/11/12 21:11,0,0,5.35,14.8,-0.5,3,2024/11/12 13:00,10,24.3,24.3,24.5,24.7,25.5,26.2,26.4
13,1012,1014.2,1013.6,2024/11/13 21:17,1010.6,2024/11/13 04:14,25.2,30,2024/11/13 10:54,21.9,2024/11/13 02:27,23.1,88,70,2024/11/13 10:42,2.1,340,8.4,330,2024/11/13 03:24,3.5,2.3,1.5,2024/11/13 01:19,2.5,2024/11/13 01:05,3.7,33.9,13.58,16.4,1.8,7,2024/11/13 13:00,7.8,25,24.7,24.8,24.6,25.2,25.9,26.4
14,1011.5,1013.7,1013.7,2024/11/14 09:49,1009.6,2024/11/14 15:51,25.1,28.6,2024/11/14 15:25,22.7,2024/11/14 05:22,22.8,87,68,2024/11/14 15:22,2.7,230,8.2,220,2024/11/14 10:48,1,1.6,1,2024/11/14 21:52,1,2024/11/14 21:52,2.1,19.3,8.3,21,-0.8,5,2024/11/14 13:00,7.8,24.8,24.6,24.8,24.9,25.6,26.2,26.4
