ObsTime,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,GloblRad
1,1004.8,1006.2,2024/8/1 07:37,1003.2,2024/8/1 19:39,29.3,34.3,2024/8/1 14:56,24.9,2024/8/1 05:12,86,60,2024/8/1 12:48,0.5,50,5.1,72,2024/8/1 10:56,0,25.8
2,1004,1005.8,2024/8/2 22:30,1002.7,2024/8/2 13:01,29.5,35.1,2024/8/2 10:31,24.6,2024/8/2 04:55,84,57,2024/8/2 10:31,0.5,229,5.3,90,2024/8/2 14:12,0,25.2
3,1004.7,1006,2024/8/3 22:22,1003.7,2024/8/3 17:24,30.1,35.5,2024/8/3 12:31,24.8,2024/8/3 05:02,79,48,2024/8/3 12:39,0.4,44,4.6,47,2024/8/3 13:21,0,26.4
4,1004.2,1005.8,2024/8/4 00:01,1002.8,2024/8/4 19:57,29.9,35,2024/8/4 14:46,25.5,2024/8/4 05:28,80,51,2024/8/4 13:36,0.4,59,4.9,115,2024/8/4 13:22,0,25.6
5,1002.6,1004.2,2024/8/5 08:21,1000.8,2024/8/5 19:32,29.3,34.5,2024/8/5 13:49,24.2,2024/8/5 05:16,81,55,2024/8/5 10:27,0.4,83,4.7,95,2024/8/5 11:12,0,24.8
6,1002,1003.5,2024/8/6 08:02,1000.8,2024/8/6 02:05,28.8,35.1,2024/8/6 13:51,24.4,2024/8/6 05:41,82,55,2024/8/6 13:52,0.3,55,4.3,99,2024/8/6 15:02,0,16.8
7,1002.2,1003.5,2024/8/7 20:55,1001.1,2024/8/7 14:13,29.6,36.2,2024/8/7 13:05,25.2,2024/8/7 04:07,78,46,2024/8/7 14:38,0.4,237,3.6,210,2024/8/7 08:37,0,22.8
8,1002.2,1003.3,2024/8/8 21:44,1001.3,2024/8/8 04:21,28.6,35.6,2024/8/8 11:17,25.4,2024/8/8 05:25,83,50,2024/8/8 11:45,0.7,230,4.1,77,2024/8/8 11:27,0,17.6
9,1001.3,1002.4,2024/8/9 08:21,999.8,2024/8/9 17:49,28.1,35.4,2024/8/9 12:48,24.4,2024/8/9 05:01,86,52,2024/8/9 11:44,0.7,231,4.4,231,2024/8/9 15:37,2.5,19.6
10,1000.2,1001.7,2024/8/10 07:09,998,2024/8/10 18:13,28.3,35.2,2024/8/10 11:40,24.6,2024/8/10 05:42,86,58,2024/8/10 12:29,0.5,226,3.6,89,2024/8/10 11:41,0,17.9
11,999.7,1001,2024/8/11 19:56,998.5,2024/8/11 14:02,29.6,35.8,2024/8/11 14:24,24.9,2024/8/11 05:17,79,54,2024/8/11 14:05,0.5,239,5.7,87,2024/8/11 13:31,0,22.1
