DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),month,day,hour,minute,GloblRad_daily,GloblRad_hourly,dbm,仰角
2024-03-09 14:00:00,3.0,2.05,1015.62,17.66,50.18,8406.56,15.84,3,9,14,0,5.7,0.3,-5.0,54.05
2024-03-09 14:10:00,3.0,2.47,1015.63,18.1,49.23,10859.83,26.7,3,9,14,10,5.7,0.3,-5.0,52.66
2024-03-09 14:20:00,3.0,2.03,1015.67,18.47,48.14,11468.33,28.81,3,9,14,20,5.7,0.3,-5.0,51.17
2024-03-09 14:30:00,3.0,1.86,1015.71,18.24,48.42,9939.42,22.68,3,9,14,30,5.7,0.3,-5.0,49.57
2024-03-09 14:40:00,3.0,1.45,1015.74,18.1,49.46,9616.58,21.97,3,9,14,40,5.7,0.3,-5.0,47.88
2024-03-09 14:50:00,3.0,2.01,1015.81,18.08,49.81,10126.17,23.53,3,9,14,50,5.7,0.3,-5.0,46.1
2024-03-09 15:00:00,3.0,2.14,1015.73,17.7,50.62,7186.17,11.67,3,9,15,0,5.7,0.3,-5.0,44.23
2024-03-09 15:10:00,3.0,1.29,1015.77,17.63,51.74,7220.83,11.09,3,9,15,10,5.7,0.3,-5.0,42.27
2024-03-09 15:20:00,3.0,1.52,1015.8,17.84,51.11,9976.58,23.21,3,9,15,20,5.7,0.3,-5.0,40.22
2024-03-09 15:30:00,3.0,1.14,1015.69,18.28,49.78,11324.25,31.1,3,9,15,30,5.7,0.3,-5.0,38.1
2024-03-09 15:40:00,3.0,1.33,1015.74,18.24,49.53,8738.0,17.39,3,9,15,40,5.7,0.3,-5.0,35.91
2024-03-09 15:50:00,3.0,1.71,1015.71,18.07,49.67,9844.91,23.35,3,9,15,50,5.7,0.3,-5.0,33.65
2024-03-09 16:00:00,3.0,1.46,1015.8,18.01,50.33,8201.83,15.78,3,9,16,0,5.7,0.2,-5.0,31.32
2024-03-09 16:10:00,3.0,0.99,1015.76,17.92,50.51,7104.08,13.1,3,9,16,10,5.7,0.2,-5.0,28.92
2024-03-09 16:20:00,3.0,0.45,1015.72,18.16,50.45,7049.75,13.23,3,9,16,20,5.7,0.2,-5.0,26.48
2024-03-09 16:30:00,3.0,0.53,1015.72,17.72,51.51,3825.75,3.93,3,9,16,30,5.7,0.2,-5.0,23.98
2024-03-09 16:40:00,3.0,0.37,1015.69,17.42,52.49,2497.25,1.77,3,9,16,40,5.7,0.2,-5.0,21.43
2024-03-09 16:50:00,3.0,0.16,1015.67,17.07,54.26,1618.08,0.75,3,9,16,50,5.7,0.2,-5.0,18.85
2024-03-09 17:00:00,3.0,0.2,1015.68,16.81,55.38,1406.5,0.55,3,9,17,0,5.7,0.1,-5.0,16.22
2024-03-09 17:10:00,3.0,0.1,1015.7,16.66,56.78,1342.0,0.52,3,9,17,10,5.7,0.1,-5.0,13.57
2024-03-09 17:20:00,3.0,0.03,1015.73,16.56,57.26,735.34,0.18,3,9,17,20,5.7,0.1,-5.0,10.89
2024-03-09 17:30:00,3.0,0.02,1015.76,16.36,57.56,269.33,0.02,3,9,17,30,5.7,0.1,-5.0,8.18
2024-03-09 17:40:00,3.0,0.0,1015.82,16.21,59.44,214.08,0.02,3,9,17,40,5.7,0.1,-5.0,5.46
2024-03-09 17:50:00,3.0,0.0,1015.94,16.1,61.52,101.83,0.01,3,9,17,50,5.7,0.1,-5.0,2.73
2024-03-09 18:00:00,3.0,0.0,1015.85,15.93,64.07,37.38,0.0,3,9,18,0,5.7,0.0,-5.0,0.0
2024-03-10 05:50:00,3.0,1.63,1017.95,14.17,81.55,32.71,0.0,3,10,5,50,3.8,0.0,-5.0,0.0
2024-03-10 06:00:00,3.0,1.44,1018.02,14.18,81.76,117.83,0.01,3,10,6,0,3.8,0.0,-5.0,0.0
2024-03-10 06:10:00,3.0,0.96,1017.95,14.22,81.77,265.83,0.03,3,10,6,10,3.8,0.0,-5.0,0.82
2024-03-10 06:20:00,3.0,1.5,1018.08,14.26,81.71,558.92,0.1,3,10,6,20,3.8,0.0,-5.0,3.54
2024-03-10 06:30:00,3.0,1.29,1018.16,14.32,82.18,809.0,0.2,3,10,6,30,3.8,0.0,10.3,6.26
2024-03-10 06:40:00,3.0,0.92,1018.25,14.39,82.22,1273.0,0.46,3,10,6,40,3.8,0.0,-5.0,8.97
2024-03-10 06:50:00,3.0,1.44,1018.4,14.57,81.34,2261.33,1.32,3,10,6,50,3.8,0.0,-5.0,11.66
2024-03-10 07:00:00,3.0,1.28,1018.63,14.72,80.53,2632.0,1.75,3,10,7,0,3.8,0.0,-5.0,14.33
2024-03-10 07:10:00,3.0,1.05,1018.7,14.87,79.97,3113.83,2.3,3,10,7,10,3.8,0.0,-5.0,16.97
2024-03-10 07:20:00,3.0,0.81,1018.88,15.04,79.2,3417.83,2.64,3,10,7,20,3.8,0.0,-5.0,19.57
2024-03-10 07:30:00,3.0,1.17,1019.07,15.07,78.96,3372.0,2.51,3,10,7,30,3.8,0.0,-5.0,22.14
2024-03-10 07:40:00,3.0,1.71,1019.2,15.17,78.25,4441.42,4.35,3,10,7,40,3.8,0.0,6.0,24.67
2024-03-10 07:50:00,3.0,1.0,1019.43,15.37,77.89,5285.17,5.9,3,10,7,50,3.8,0.0,15.0,27.15
2024-03-10 08:00:00,3.0,1.81,1019.58,15.19,78.63,4573.67,4.49,3,10,8,0,3.8,0.1,-5.0,29.57
2024-03-10 08:10:00,3.0,1.56,1019.75,15.21,78.22,4535.58,4.45,3,10,8,10,3.8,0.1,-5.0,31.94
2024-03-10 08:20:00,3.0,1.11,1019.88,15.4,77.0,4960.58,4.79,3,10,8,20,3.8,0.1,-5.0,34.25
2024-03-10 08:30:00,3.0,1.57,1020.01,15.55,76.15,5045.67,5.2,3,10,8,30,3.8,0.1,6.0,36.49
2024-03-10 08:40:00,3.0,0.55,1020.05,15.88,75.27,6349.5,8.35,3,10,8,40,3.8,0.1,21.1,38.66
2024-03-10 08:50:00,3.0,1.44,1020.21,16.01,74.39,6426.92,8.13,3,10,8,50,3.8,0.1,-5.0,40.75
2024-03-10 09:00:00,3.0,0.64,1020.3,16.06,74.43,6198.5,7.56,3,10,9,0,3.8,0.1,-5.0,42.77
2024-03-10 09:10:00,3.0,0.93,1020.43,16.25,75.42,7916.58,12.21,3,10,9,10,3.8,0.1,15.0,44.7
2024-03-10 09:20:00,3.0,1.17,1020.31,15.89,77.85,8667.0,17.14,3,10,9,20,3.8,0.1,11.1,46.55
2024-03-10 09:30:00,3.0,0.96,1020.38,15.85,78.74,8258.09,15.94,3,10,9,30,3.8,0.1,5.0,48.3
2024-03-10 09:40:00,3.0,1.03,1020.3,16.01,78.95,9784.25,22.38,3,10,9,40,3.8,0.1,22.2,49.97
2024-03-10 09:50:00,3.0,1.33,1020.21,16.47,76.96,12742.42,37.93,3,10,9,50,3.8,0.1,16.0,51.53
2024-03-10 10:00:00,3.0,1.01,1020.18,16.87,75.63,12215.75,35.76,3,10,10,0,3.8,0.2,7.0,53.0
2024-03-10 10:10:00,3.0,0.7,1020.24,17.16,75.09,12005.58,33.38,3,10,10,10,3.8,0.2,10.6,54.36
2024-03-10 10:20:00,3.0,0.59,1020.22,17.54,74.39,14300.33,49.75,3,10,10,20,3.8,0.2,-5.0,55.62
2024-03-10 10:30:00,3.0,0.45,1020.21,18.74,69.36,19295.25,84.81,3,10,10,30,3.8,0.2,-5.0,56.77
2024-03-10 10:40:00,3.0,0.51,1020.14,19.23,66.34,16536.75,58.71,3,10,10,40,3.8,0.2,-5.0,57.81
2024-03-10 10:50:00,3.0,1.22,1020.04,18.89,65.78,15001.0,47.32,3,10,10,50,3.8,0.2,-5.0,58.74
