序號,答案
20240117090001,198.47
20240117091001,561.45
20240117092001,355.39
20240117093001,429.83
20240117094001,320.74
20240117095001,432.97
20240117100001,431.5
20240117101001,374.37
20240117102001,541.12
20240117103001,463.4
20240117104001,591.38
20240117105001,604.26
20240117110001,1245.51
20240117111001,1100.73
20240117112001,961.08
20240117113001,963.92
20240117114001,799.9
20240117115001,679.21
20240117120001,90.8
20240117121001,118.99
20240117122001,165.43
20240117123001,211.36
20240117124001,314.09
20240117125001,316.09
20240117130001,476.26
20240117131001,460.42
20240117132001,432.65
20240117133001,537.64
20240117134001,701.1
20240117135001,1090.0
20240117140001,922.2
20240117141001,1056.42
20240117142001,1284.12
20240117143001,814.97
20240117144001,1004.18
20240117145001,1239.05
20240117150001,303.54
20240117151001,124.93
20240117152001,92.74
20240117153001,67.19
20240117154001,87.09
20240117155001,83.37
20240117160001,55.5
20240117161001,64.45
20240117162001,15.29
20240117163001,15.21
20240117164001,7.24
20240117165001,18.01
20240119090001,197.39
20240119091001,160.13
20240119092001,214.15
20240119093001,270.61
20240119094001,230.16
20240119095001,264.24
20240119100001,344.7
20240119101001,439.17
20240119102001,468.74
20240119103001,1274.06
20240119104001,1319.85
20240119105001,1393.04
20240119110001,1380.99
20240119111001,1149.82
20240119112001,1157.05
20240119113001,1497.37
20240119114001,1471.95
20240119115001,1334.65
20240119120001,1515.7
20240119121001,955.26
20240119122001,730.31
20240119123001,1037.21
20240119124001,1031.44
20240119125001,1101.76
20240119130001,1211.71
20240119131001,1186.31
20240119132001,1292.09
20240119133001,1022.05
20240119134001,860.31
20240119135001,841.63
20240119140001,1155.67
20240119141001,1009.77
20240119142001,1292.01
20240119143001,580.18
20240119144001,950.47
20240119145001,304.17
20240119150001,263.75
20240119151001,97.58
20240119152001,97.47
20240119153001,77.18
20240119154001,94.23
20240119155001,81.14
20240119160001,45.57
20240119161001,45.32
20240119162001,39.74
20240119163001,24.7
20240119164001,12.7
20240119165001,12.64
20240224090001,57.8
20240224091001,70.41
20240224092001,48.95
20240224093001,43.77
20240224094001,30.22
20240224095001,26.36
20240224100001,46.36
20240224101001,57.03
20240224102001,42.92
20240224103001,43.73
20240224104001,52.64
20240224105001,47.14
20240224110001,53.64
20240224111001,62.15
20240224112001,64.66
20240224113001,65.61
20240224114001,72.14
20240224115001,52.96
20240224120001,85.5
20240224121001,71.23
20240224122001,74.53
20240224123001,60.92
20240224124001,72.26
20240224125001,74.4
20240224130001,28.37
20240224131001,28.11
20240224132001,30.93
20240224133001,42.51
20240224134001,47.51
20240224135001,30.85
20240224140001,22.49
20240224141001,21.24
20240224142001,16.44
20240224143001,14.46
20240224144001,15.21
20240224145001,20.51
20240224150001,12.04
20240224151001,12.23
20240224152001,6.56
20240224153001,5.45
20240224154001,5.75
20240224155001,4.03
20240224160001,2.23
20240224161001,1.23
20240224162001,1.18
20240224163001,0.63
20240224164001,0.75
20240224165001,0.32
20240226090001,32.39
20240226091001,36.96
20240226092001,56.24
20240226093001,54.2
20240226094001,81.4
20240226095001,99.52
20240226100001,86.23
20240226101001,89.53
20240226102001,82.69
20240226103001,77.86
20240226104001,109.51
20240226105001,166.72
20240226110001,56.52
20240226111001,81.49
20240226112001,66.09
20240226113001,38.81
20240226114001,39.82
20240226115001,35.25
20240226120001,82.19
20240226121001,72.59
20240226122001,68.03
20240226123001,43.11
20240226124001,39.68
20240226125001,45.95
20240226130001,31.28
20240226131001,38.1
20240226132001,35.18
20240226133001,30.31
20240226134001,38.5
20240226135001,44.74
20240226140001,42.15
20240226141001,26.9
20240226142001,23.99
20240226143001,20.99
20240226144001,18.13
20240226145001,18.77
20240226150001,17.26
20240226151001,14.06
20240226152001,11.68
20240226153001,8.73
20240226154001,7.93
20240226155001,7.58
20240226160001,7.63
20240226161001,6.22
20240226162001,3.32
20240226163001,2.29
20240226164001,1.53
20240226165001,1.06
20240327090001,117.44
20240327091001,105.52
20240327092001,138.86
20240327093001,185.19
20240327094001,277.62
